Div,Team,ELO,Goals scored,Goals conceded,Goals difference,Points,Change in ELO,Opposition mean ELO,Shots on target attempted,Shots on target allows,Shots attemped,Shots allowed,Corners awarded,Corners allowed,Fouls commited,Fouls suffered,Yellow cards,Red cards
SP1,Celta,1527.12761606922,7.0,8.0,-1.0,5,-14.55056171057322,1596.2728549266128,19.0,22.0,56.0,54.0,17.0,11.0,46.0,58.0,11.0,0.0
SP1,Las Palmas,1493.9448049140703,9.0,6.0,3.0,10,8.243123941465456,1586.0179754305966,17.0,24.0,50.0,96.0,17.0,33.0,63.0,64.0,14.0,0.0
SP1,Osasuna,1562.3720461807093,5.0,9.0,-4.0,4,-2.3233402398564067,1595.8534344130799,14.0,26.0,35.0,62.0,16.0,32.0,69.0,60.0,14.0,0.0
SP1,Valencia,1458.0679262221356,6.0,7.0,-1.0,4,2.7769754969615406,1505.4309097436367,18.0,11.0,60.0,34.0,31.0,16.0,50.0,60.0,9.0,0.0
SP1,Sociedad,1625.4192488591132,6.0,1.0,5.0,10,-8.243123941465456,1612.2182653282455,17.0,11.0,52.0,50.0,22.0,25.0,86.0,58.0,14.0,0.0
SP1,Mallorca,1559.6331655779247,8.0,11.0,-3.0,9,17.78530351768245,1579.6350367558857,13.0,19.0,42.0,66.0,13.0,22.0,62.0,60.0,11.0,3.0
SP1,Valladolid,1429.5144813395948,3.0,10.0,-7.0,4,16.394361828318097,1554.9512666813614,10.0,22.0,32.0,67.0,14.0,23.0,56.0,65.0,14.0,1.0
SP1,Villarreal,1622.5591164755574,6.0,9.0,-3.0,3,-7.386967676953191,1594.7130741792932,21.0,20.0,72.0,57.0,24.0,20.0,60.0,65.0,17.0,1.0
SP1,Sevilla,1537.7894163236285,6.0,6.0,0.0,7,14.55056171057322,1571.2508447713997,16.0,19.0,48.0,48.0,25.0,13.0,55.0,56.0,14.0,1.0
SP1,Barcelona,1753.7368822126493,10.0,8.0,2.0,5,-27.895915951530014,1525.5607019263593,28.0,22.0,85.0,44.0,25.0,15.0,48.0,65.0,10.0,1.0
SP1,Espanol,1463.4319099603126,5.0,7.0,-2.0,5,-2.7769754969615406,1533.3967476491557,13.0,17.0,46.0,63.0,17.0,25.0,73.0,49.0,15.0,0.0
